date,ticker,group,open,close,high,low,volume,ingest_date,ma30,ma30_slope_pct,ma30_slope_signal,ma30_slope_signal_confirmed,price_to_ma_pct,price_vs_ma_signal,price_vs_ma_breakout,price_vs_ma_signal_confirmed,bench_close,rs_ratio,rs_slope_pct,rs_slope_signal,rs_slope_signal_confirmed,recent_avg_vol,vol_factor,recent_max_vol,vol_rank_pct,up_week,vol_on_up,vol_on_down,accumulation_score,breakout_volume_ok,accumulation_confirmed,distribution_confirmed,stage_score_core,stage_label_core,stage_reason,market_stage_core,market_score_core,market_alignment_state,market_multiplier,base_quality_score,momentum_confirmed,stage_score_adj,stage_label_adj,stage_label_override_reason
2025-12-01,ADBE,Leader,316.39,346.26,348.59,316.11,21935688,2025-12-20,361.25050000000005,-0.3347845198904211,flat,flat,-4.149613633752771,below,False,below,683.6875596125,0.506459412829236,0.24195123290153112,flat,unconfirmed_flat,17431890.75,1.2583653898817602,41782469,0.5249974097988321,True,0,0,0.0,False,False,False,0.25,Stage 4, |  |  | ,Stage 1,0.7999999999999999,cautious,0.85,0.0,True,0.2625,Stage 4,
2025-12-08,ADBE,Leader,347.445,356.43,362.71,333.79,30898268,2025-12-20,359.2273333333334,-0.3995363977340077,flat,flat,-0.7787083759402226,near,False,unconfirmed_near,679.7690365054,0.5243398578910833,1.45825937089732,rising,unconfirmed_rising,21468893.5,1.4392110147642216,39871484,0.7749465256923971,True,0,0,0.0,False,False,False,0.25,Stage 4, |  |  | ,Stage 1,0.7999999999999999,cautious,0.85,0.04000000000000001,True,0.2665,Stage 4,
2025-12-15,ADBE,Leader,352.6,355.86,358.34,343.88,25922924,2025-12-20,357.4996666666667,-0.46237272635774546,flat,flat,-0.45864844629226653,near,False,unconfirmed_near,680.59,0.5228698629130607,1.1594903274467534,rising,unconfirmed_rising,23190869.5,1.1178073336146366,39871484,0.650162005507495,False,0,0,0.0,False,False,False,0.25,Stage 4, |  |  | ,Stage 1,0.7999999999999999,cautious,0.85,0.11333333333333334,True,0.2738333333333333,Stage 4,
2025-10-27,AFRM,Leader,76.85,71.88,77.35,68.3701,23006848,2025-12-20,66.248,1.3680249435544576,rising,rising,8.501388721168926,above,False,above,680.0681604067,0.1056952878914574,-1.6527752852921562,falling,falling,25841353.5,0.8903112602054687,88966186,0.2586021614998759,False,0,0,0.0,False,False,False,0.7,Stage 1, |  |  | ,Stage 3,0.5,watch,0.6,0.1,False,0.43,Stage 1,
2025-11-03,AFRM,Leader,71.83,73.62,73.91,65.705,41729530,2025-12-20,67.35233333333333,1.4604951515087141,rising,rising,9.305789950360548,above,False,above,669.0105468553,0.11004310820816288,-0.37501276845909487,flat,unconfirmed_flat,28765277.5,1.4506910284456669,88966186,0.469049330719876,True,0,0,0.0,False,False,False,0.7,Stage 1, |  |  | ,Stage 1,0.7999999999999999,cautious,0.85,0.1,False,0.605,Stage 1,
2025-11-10,AFRM,Leader,75.79,70.51,79.38,69.56,31379023,2025-12-20,68.29933333333335,1.5215427599100952,rising,rising,3.2367324229616496,above,False,above,669.9677433394,0.10524387285953292,-0.7349872670912564,falling,unconfirmed_falling,30333429.75,1.0344699975775078,88966186,0.3527072971297207,False,0,0,0.0,False,False,False,0.7,Stage 1, |  |  | ,Stage 1,0.7999999999999999,cautious,0.85,0.06666666666666667,False,0.6016666666666667,Stage 1,
2025-11-17,AFRM,Leader,69.6,64.38,70.39,60.29,27110954,2025-12-20,68.809,1.4790959981686875,rising,rising,-6.436657995320383,below,False,unconfirmed_below,657.1054155835,0.09797514747741273,-0.8825881622735346,falling,unconfirmed_falling,30806588.75,0.8800375211942283,88966186,0.30473323876107267,False,0,0,0.0,False,False,False,0.4,Stage 3, |  |  | ,Stage 1,0.7999999999999999,cautious,0.85,0.03333333333333333,False,0.3433333333333334,Stage 3,
2025-11-24,AFRM,Leader,65.0,70.95,71.24,64.28,17244642,2025-12-20,69.42933333333332,1.348529961923011,rising,rising,2.1902365954832037,above,False,unconfirmed_above,681.3942763692,0.1041247372637999,-1.3469847048357364,falling,falling,29366037.25,0.5872308154209673,88966186,0.19383366619762704,True,0,0,0.0,False,False,False,0.4,Stage 3, |  |  | ,Stage 1,0.7999999999999999,cautious,0.85,0.03333333333333333,False,0.3433333333333334,Stage 3,
2025-12-01,AFRM,Leader,70.3,67.99,72.14,66.61,25263593,2025-12-20,70.14866666666667,1.1775952984744191,rising,rising,-3.0772739800233917,below,False,unconfirmed_below,683.6875596125,0.09944601016074554,-1.1825082944339937,falling,falling,25249553.0,1.0005560494476873,88966186,0.2839684843857418,False,0,0,0.0,False,False,False,0.4,Stage 3, |  |  | ,Stage 1,0.7999999999999999,cautious,0.85,0.03333333333333333,False,0.3433333333333334,Stage 3,
2025-12-08,AFRM,Leader,68.375,67.25,71.12,65.6,21964485,2025-12-20,70.63799999999999,0.9756652825687773,rising,rising,-4.796285285540349,below,False,unconfirmed_below,679.7690365054,0.09893066083992746,-2.019653488379221,falling,falling,22895918.5,0.9593187973655654,88966186,0.24688576623932154,False,0,0,0.0,False,False,False,0.4,Stage 3, |  |  | ,Stage 1,0.7999999999999999,cautious,0.85,0.0,False,0.34,Stage 3,
